Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Steven Adams\adamsst01,C,26,OKC,59,59,1592,8.2,13.9,0.594,0,0.1,0.333,8.2,13.8,0.596,3.4,5.8,0.585,6.1,10.9,16.9,4.4,1.5,2,2.8,3.5,19.9
2,Bam Adebayo\adebaba01,PF,22,MIA,66,66,2263,9,15.8,0.568,0,0.3,0.077,8.9,15.5,0.577,5.3,7.6,0.693,3.6,11.3,15,7.3,1.7,1.8,4.1,3.6,23.2
3,LaMarcus Aldridge\aldrila01,C,34,SAS,53,53,1754,10.7,21.7,0.493,1.7,4.3,0.389,9,17.4,0.519,4.3,5.2,0.827,2.8,7.9,10.7,3.5,1,2.4,2,3.5,27.4
4,Nickeil Alexander-Walker\alexani01,SG,21,NOP,42,0,513,7.5,21.1,0.355,3.8,10.8,0.35,3.7,10.3,0.36,1.6,2.7,0.6,0.7,6.6,7.3,6.8,1.2,0.6,3.6,4.5,20.4
5,Grayson Allen\allengr01,SG,24,MEM,31,0,520,7.3,16.2,0.45,3.1,8.3,0.37,4.2,7.9,0.534,2.7,3.2,0.833,0.4,5.7,6.1,3.9,0.7,0.1,2.2,3.4,20.3
6,Jarrett Allen\allenja01,C,21,BRK,65,59,1674,7.8,12,0.649,0,0.1,0,7.8,11.8,0.657,4.2,6.7,0.62,5.6,11.7,17.3,2.5,1,2.4,2,4.2,19.7
7,Kadeem Allen\allenka01,SG,27,NYK,10,0,117,7.9,18.3,0.432,2.1,6.7,0.313,5.8,11.7,0.5,2.9,4.6,0.636,0.8,2.9,3.7,8.7,2.1,0.8,3.3,2.9,20.8
8,Al-Farouq Aminu\aminual01,PF,29,ORL,18,2,380,3.2,11,0.291,1.2,4.6,0.25,2.1,6.4,0.32,2.4,3.7,0.655,3.1,8.1,11.2,2.7,2.3,1,2.2,3.5,10
9,Justin Anderson\anderju01,SF,26,BRK,4,0,27,1.8,14.1,0.125,0,8.8,0,1.8,5.3,0.333,1.8,3.5,0.5,1.8,7,8.8,7,0,3.5,1.8,3.5,5.3
10,Kyle Anderson\anderky01,PF,26,MEM,60,21,1158,5.6,11.5,0.488,0.7,2.6,0.262,4.9,8.9,0.555,1.8,2.7,0.647,2.2,8.3,10.4,5.4,1.9,1.3,2.3,3.6,13.7
11,Ryan Anderson\anderry01,PF,31,HOU,2,0,14,6.6,23.2,0.286,3.3,16.6,0.2,3.3,6.6,0.5,0,0,,0,23.2,23.2,6.6,3.3,0,3.3,3.3,16.6
