W,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
53,0.553,12.8,20.7,0.196,0.486,12.2,81.7,0.172
50,0.546,13.2,24.6,0.198,0.509,13.9,78.6,0.203
44,0.532,12.9,23.9,0.232,0.502,12.3,77.3,0.212
46,0.536,12.8,21.6,0.205,0.502,14.6,76.1,0.2
40,0.548,11.3,23.5,0.198,0.519,10.9,77.4,0.172
43,0.529,12,23.9,0.204,0.51,13.6,77.5,0.212
40,0.539,12.6,22.4,0.226,0.528,13.5,75.6,0.194
42,0.551,13.7,21.3,0.209,0.514,11,78.8,0.18
43,0.532,12.3,24.7,0.178,0.526,13,77,0.194
40,0.534,12.3,19.2,0.233,0.52,12.4,76.8,0.164
41,0.549,13.5,20.5,0.231,0.522,12.3,79.7,0.208
39,0.53,12.7,23.7,0.189,0.522,12.7,80.4,0.211
39,0.533,11.9,20.3,0.17,0.513,12.8,77.1,0.193
28,0.537,13.7,24.4,0.183,0.53,12.4,78,0.208
30,0.503,11.4,22.4,0.191,0.535,13.5,79,0.17
26,0.528,13.3,22.2,0.226,0.543,14,78.3,0.221
32,0.53,13.2,23.2,0.178,0.52,12.6,77.6,0.213
29,0.53,11.5,22,0.191,0.523,11,75,0.204
30,0.515,13.4,23.5,0.199,0.507,10.9,77.8,0.181
27,0.529,11,19.5,0.206,0.542,11.5,79.2,0.194
28,0.531,13,21.8,0.178,0.54,13.6,78.5,0.222
19,0.514,13,22.1,0.209,0.541,13.2,77.2,0.218
22,0.515,13.7,22.8,0.175,0.546,16.3,75.6,0.239
20,0.529,13.8,22.6,0.194,0.541,12.7,75.9,0.186
24,0.528,12.1,22,0.214,0.56,14,74.9,0.23
21,0.501,12.6,25.8,0.182,0.541,12.4,78.3,0.224
23,0.504,13.3,23.9,0.188,0.546,13.1,74.4,0.159
19,0.522,14.6,24.6,0.172,0.56,11.7,77.4,0.164
20,0.515,13.8,21.6,0.204,0.543,12.7,74.9,0.233
15,0.497,13.2,21.5,0.212,0.553,13.7,76.4,0.193
60,0.55,12,20.8,0.197,0.503,11.5,80.3,0.162
57,0.565,12.6,22.5,0.182,0.508,11.7,77.1,0.205
58,0.543,12.4,21.9,0.198,0.509,13.1,77.1,0.19
50,0.538,13.4,22.9,0.217,0.507,12.4,80.3,0.189
53,0.542,12,22.8,0.221,0.525,13.4,74.4,0.21
53,0.528,12.1,26.6,0.21,0.516,11,77.9,0.195
54,0.527,11.9,26.6,0.175,0.521,12.3,78,0.194
49,0.534,11.5,21.6,0.173,0.514,13.4,77,0.198
49,0.514,11.7,26,0.19,0.523,14.4,78.2,0.206
48,0.53,12.4,21.9,0.182,0.516,14.1,76.2,0.184
51,0.532,12.9,24.5,0.241,0.512,11.1,78.6,0.206
