Tm,Win,Pos,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
OKC,40,5,8.2,13.9,0.589928058,0,0.1,0,8.2,13.8,0.594202899,0.589928058,3.4,5.8,0.586206897,6.1,10.9,16.9,4.4,1.5,2,2.8,3.5,19.9,123,106
MIA,41,4,9,15.8,0.569620253,0,0.3,0,8.9,15.5,0.574193548,0.569620253,5.3,7.6,0.697368421,3.6,11.3,15,7.3,1.7,1.8,4.1,3.6,23.2,117,106
SAS,27,5,10.7,21.7,0.493087558,1.7,4.3,0.395348837,9,17.4,0.517241379,0.532258065,4.3,5.2,0.826923077,2.8,7.9,10.7,3.5,1,2.4,2,3.5,27.4,115,113
NOP,28,2,7.5,21.1,0.355450237,3.8,10.8,0.351851852,3.7,10.3,0.359223301,0.44549763,1.6,2.7,0.592592593,0.7,6.6,7.3,6.8,1.2,0.6,3.6,4.5,20.4,93,113
MEM,32,2,7.3,16.2,0.450617284,3.1,8.3,0.373493976,4.2,7.9,0.53164557,0.546296296,2.7,3.2,0.84375,0.4,5.7,6.1,3.9,0.7,0.1,2.2,3.4,20.3,110,115
BRK,30,5,7.8,12,0.65,0,0.1,0,7.8,11.8,0.661016949,0.65,4.2,6.7,0.626865672,5.6,11.7,17.3,2.5,1,2.4,2,4.2,19.7,131,105
NYK,21,2,7.9,18.3,0.431693989,2.1,6.7,0.313432836,5.8,11.7,0.495726496,0.489071038,2.9,4.6,0.630434783,0.8,2.9,3.7,8.7,2.1,0.8,3.3,2.9,20.8,106,114
ORL,30,4,3.2,11,0.290909091,1.2,4.6,0.260869565,2.1,6.4,0.328125,0.345454545,2.4,3.7,0.648648649,3.1,8.1,11.2,2.7,2.3,1,2.2,3.5,10,88,107
BRK,30,3,1.8,14.1,0.127659574,0,8.8,0,1.8,5.3,0.339622642,0.127659574,1.8,3.5,0.514285714,1.8,7,8.8,7,0,3.5,1.8,3.5,5.3,62,109
MEM,32,4,5.6,11.5,0.486956522,0.7,2.6,0.269230769,4.9,8.9,0.550561798,0.517391304,1.8,2.7,0.666666667,2.2,8.3,10.4,5.4,1.9,1.3,2.3,3.6,13.7,110,109
HOU,40,4,6.6,23.2,0.284482759,3.3,16.6,0.198795181,3.3,6.6,0.5,0.355603448,0,0,0,0,23.2,23.2,6.6,3.3,0,3.3,3.3,16.6,78,98
MIL,53,4,16.2,29.5,0.549152542,2.1,7,0.3,14.1,22.5,0.626666667,0.584745763,9.4,14.8,0.635135135,3.3,17,20.3,8.6,1.5,1.5,5.4,4.5,43.9,117,96
LAL,50,4,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,9.5,9.5,9.5,0,0,0,0,0,226,110
MIL,53,3,9.3,17.7,0.525423729,0,3.4,0,9.3,14.3,0.65034965,0.525423729,3.4,7.4,0.459459459,5.4,3.9,9.3,4.4,2.9,1,5.4,6.4,22.1,99,101
POR,29,4,8.5,19.8,0.429292929,2.1,5.7,0.368421053,6.4,14.1,0.453900709,0.482323232,3.4,4,0.85,1.8,7.4,9.2,2.3,1.2,0.7,2.6,4.2,22.5,103,115
TOR,46,3,6.8,13.2,0.515151515,2.1,5.4,0.388888889,4.7,7.9,0.594936709,0.59469697,1.6,2.2,0.727272727,1.9,6.7,8.5,2.5,2.2,1,1.9,3.9,17.2,115,104
CHI,22,1,4.7,11.4,0.412280702,2.8,7.1,0.394366197,1.9,4.2,0.452380952,0.535087719,1.4,2,0.7,1,4.7,5.7,5,1.4,0.2,1.9,5,13.5,111,113
SAC,28,3,3.9,10.2,0.382352941,2.6,7.5,0.346666667,1.3,2.6,0.5,0.509803922,1.3,1.7,0.764705882,1.3,7.7,9,3.1,2.2,0.4,1.7,3.9,11.8,108,111
POR,29,3,5.3,10.8,0.490740741,2.3,5.8,0.396551724,3,5,0.6,0.597222222,2.8,3.2,0.875,0.9,5.9,6.8,2.8,2.3,0.5,1.9,3.3,15.7,121,113
ORL,30,1,6.3,15.9,0.396226415,2.4,7,0.342857143,3.9,9,0.433333333,0.471698113,5.5,6.2,0.887096774,0.7,3.6,4.3,8.9,1.2,0,2.8,2.1,20.5,114,114
PHO,26,5,12.2,22,0.554545455,0.1,0.3,0.333333333,12.1,21.7,0.557603687,0.556818182,2.8,3.6,0.777777778,5.8,11.3,17.1,2.8,1,2.4,3.3,4.5,27.3,111,108
CHO,23,2,6.2,17.8,0.348314607,1.4,4.9,0.285714286,4.8,12.9,0.372093023,0.387640449,2.6,3.9,0.666666667,1.1,6.2,7.3,3.8,1.7,0.1,2.7,3.8,16.3,86,114
SAC,28,4,11.4,24.4,0.467213115,0.6,3.2,0.1875,10.8,21.1,0.511848341,0.479508197,3.6,4.5,0.8,4.2,9.9,14.1,1.5,0.9,1.7,2.6,6.3,27,102,110
NOP,28,1,6.5,16,0.40625,3.5,9.2,0.380434783,3,6.8,0.441176471,0.515625,1,1.8,0.555555556,1.6,7.3,8.9,9.9,2,0.7,4.4,2.9,17.5,104,111
ORL,30,5,7.4,15.9,0.465408805,2.1,6,0.35,5.3,10,0.53,0.531446541,1.7,2.6,0.653846154,5.5,11.3,16.8,2.3,1.3,4.8,2.3,6.4,18.6,111,103
DAL,40,1,9.1,22.1,0.411764706,3.6,9.4,0.382978723,5.6,12.7,0.440944882,0.49321267,2.1,2.2,0.954545455,1.2,4.7,5.9,12.2,0.5,0.2,4.3,3.1,24,110,115
SAC,28,4,7.1,15.4,0.461038961,2,5.3,0.377358491,5.1,10.1,0.504950495,0.525974026,4.2,5.3,0.79245283,1.3,5.4,6.7,3.3,0.9,0.2,1.8,1.8,20.4,116,115
NYK,21,2,8.3,20.8,0.399038462,1.8,5.6,0.321428571,6.5,15.1,0.430463576,0.442307692,4.5,7.3,0.616438356,1.4,6.5,8,4.1,1.6,0.5,3.5,3.5,22.9,95,114
DEN,43,3,8.6,19,0.452631579,2.8,7.4,0.378378378,5.8,11.6,0.5,0.526315789,2.6,3.4,0.764705882,2,7.4,9.4,5.5,1.6,0.7,2.3,3.1,22.5,112,110
MIN,19,3,6.3,14.8,0.425675676,2.2,6.8,0.323529412,4,8,0.5,0.5,3.3,4.7,0.70212766,1.5,6.4,7.9,2.2,1.2,1.4,1,2.6,18,111,113
DEN,43,3,4.7,4.7,1,0,0,0,4.7,4.7,1,1,7.1,9.4,0.755319149,0,4.7,4.7,0,2.4,2.4,0,4.7,16.5,193,108
CHO,23,3,2.8,8,0.35,1.4,4.9,0.285714286,1.4,3.2,0.4375,0.4375,0.9,1,0.9,2.5,7.4,9.9,6.5,1.7,0.8,2.2,4.1,7.8,107,112
PHO,26,5,9.3,19.3,0.481865285,3,8.5,0.352941176,6.3,10.8,0.583333333,0.559585492,2.8,3.8,0.736842105,3.6,8.4,12,3.4,0.5,1.2,2.5,7.1,24.4,113,112
POR,29,3,4.8,14,0.342857143,2.4,7.3,0.328767123,2.4,6.6,0.363636364,0.428571429,2.5,3.1,0.806451613,0.6,6.8,7.4,2.6,1.9,1.3,2.6,5.2,14.6,92,113
SAC,28,2,7.1,16.7,0.425149701,2.2,5.7,0.385964912,4.9,11,0.445454545,0.491017964,4.9,6.7,0.731343284,1.2,9.7,10.9,2.7,2.5,0.8,2.5,6,21.2,105,108
OKC,40,4,4.8,12.3,0.390243902,1.7,5.3,0.320754717,3.1,6.9,0.449275362,0.459349593,1.7,2.4,0.708333333,1.1,9.4,10.5,1.5,1,1.9,2.1,2.4,12.9,91,108
WAS,24,2,13.5,29.6,0.456081081,3.9,10.9,0.357798165,9.6,18.7,0.513368984,0.521959459,8.7,10.4,0.836538462,1.2,4.3,5.5,7.9,1.6,0.5,4.4,2.9,39.6,113,117
DEN,43,2,7.7,19.9,0.386934673,3.8,10.7,0.355140187,3.9,9.3,0.419354839,0.48241206,2.2,2.5,0.88,0.6,4.5,5.1,3.2,2.1,0.4,2.4,3.3,21.5,100,111
MIN,19,2,11,23.4,0.47008547,4.9,11.5,0.426086957,6.1,11.8,0.516949153,0.574786325,2.1,2.8,0.75,0.9,6.2,7.1,2.7,0.9,0.2,2.1,2.7,29.1,111,115
SAS,27,2,6.5,16.6,0.391566265,3.4,9.5,0.357894737,3,7.1,0.422535211,0.493975904,2.4,2.9,0.827586207,0.2,5.3,5.5,3.9,0.7,0.1,1,2.5,18.7,108,118
MIN,19,5,6.3,11.9,0.529411765,0.4,1.8,0.222222222,5.9,10.1,0.584158416,0.546218487,3.4,5.7,0.596491228,5.5,9.9,15.4,2.8,0.4,2,3.6,3.4,16.4,108,112
MEM,32,4,6.7,15.6,0.429487179,4.4,6.7,0.656716418,2.2,8.9,0.247191011,0.570512821,4.4,4.4,1,4.4,2.2,6.7,4.4,2.2,0,6.7,4.4,22.2,103,113
ATL,20,2,5.3,11.6,0.456896552,0.8,3.3,0.242424242,4.5,8.3,0.542168675,0.49137931,1.3,2.4,0.541666667,1.7,6,7.7,4.1,2.8,1,3.1,4.3,12.7,95,112
MIL,53,3,5,10.5,0.476190476,2,4.5,0.444444444,3,6,0.5,0.571428571,1,1.5,0.666666667,0,10,10,4.5,0,2.5,2.5,8,13.1,105,102
GSW,15,3,7.6,17.4,0.436781609,2.7,8.3,0.325301205,4.9,9.1,0.538461538,0.514367816,2,2.7,0.740740741,3.9,9.1,13,4.7,1,1,3.9,6.4,19.9,101,114
WAS,24,4,7.8,18,0.433333333,5.9,13.9,0.424460432,1.9,4.1,0.463414634,0.597222222,3.1,3.6,0.861111111,1,6.2,7.2,2.7,1.1,1,1.7,4.1,24.6,120,117
LAC,44,1,5.1,11.9,0.428571429,2.8,7.3,0.383561644,2.3,4.7,0.489361702,0.546218487,1.1,1.6,0.6875,2,7.3,9.3,6.5,1.9,0.9,2.3,5.5,14.2,116,106
